seed_item_id,recommended_product_id,score
12352,30792,62
12352,9654,61
12352,33043,33
12352,78214,29
12352,6913,27
12352,7837,25
12352,79582,20
12352,30254,19
12352,36118,18
12352,51257,18
31331,7985,11
31331,14427,11
31331,49125,9
31331,36642,9
31331,32926,8
31331,6913,6
31331,81766,5
31331,40435,5
31331,48482,5
31331,10674,5
35077,33043,21
35077,12352,13
35077,9654,13
35077,53120,12
35077,6913,12
35077,32118,11
35077,7837,11
35077,30792,11
35077,6211,10
35077,51257,8
81766,6913,19
81766,43851,14
81766,8172,11
81766,9654,8
81766,8252,8
81766,86145,7
81766,9235,7
81766,36642,7
81766,12352,5
81766,31331,5
32627,36642,6
32627,51257,6
32627,34077,5
32627,7985,5
32627,9879,5
33043,6913,42
33043,12352,33
33043,9654,32
33043,51257,31
33043,8172,23
33043,30792,22
33043,35077,21
33043,32118,16
33043,8252,16
33043,10674,15
32118,33043,16
32118,7837,16
32118,9654,14
32118,8252,12
32118,12352,11
32118,35077,11
32118,6913,11
32118,43851,7
32118,9235,7
32118,30792,7
9654,30792,86
9654,12352,61
9654,6913,36
9654,33043,32
9654,36118,28
9654,78214,27
9654,30254,22
9654,4751,21
9654,7837,21
9654,79582,20
36118,9654,28
36118,4751,26
36118,12352,18
36118,30792,16
36118,513,16
36118,78214,15
36118,79582,15
36118,51257,10
36118,68496,8
36118,6913,8
10657,3277,24
10657,3147,22
10657,36246,20
10657,32971,18
10657,3284,14
10657,42779,13
10657,74771,12
10657,10607,12
10657,88495,11
10657,3274,10
3147,10607,86
3147,42779,77
3147,3284,64
3147,40965,62
3147,3274,56
3147,80317,56
3147,76,48
3147,76033,48
3147,14974,47
3147,51096,45
100747,42779,34
100747,32971,28
100747,74771,28
100747,33355,25
100747,10607,22
100747,88495,22
100747,35606,14
100747,3284,14
100747,29301,13
100747,3147,11
32971,74771,47
32971,42779,29
32971,100747,28
32971,88495,26
32971,10607,24
32971,33355,21
32971,3147,19
32971,10657,18
32971,3284,14
32971,21955,11
196110,36246,7
196110,10657,6
196110,74771,6
196110,35606,5
32754,3284,31
32754,36246,20
32754,42779,20
32754,88495,15
32754,10271,14
32754,3147,13
32754,35606,13
32754,3277,13
32754,10607,13
32754,40965,12
35606,10271,21
35606,3284,18
35606,36246,15
35606,100747,14
35606,32754,13
35606,3147,11
35606,40965,11
35606,42779,11
35606,33355,10
35606,10270,10
36246,3284,27
36246,10657,20
36246,32754,20
36246,10271,17
36246,40965,16
36246,3147,15
36246,35606,15
36246,3277,15
36246,88495,14
36246,21955,13
35472,13400,20
35472,13381,18
35472,5140,16
35472,90752,15
35472,7298,10
35472,128723,9
35472,131622,9
35472,7299,9
35472,14069,8
35472,13064,7
5140,35472,16
5140,13381,14
5140,128723,9
5140,90752,9
5140,13400,8
5140,7299,8
5140,5897,6
5140,131622,6
32742,40639,39
32742,58736,36
32742,88667,12
32742,392328,10
32742,70659,9
32742,7057,9
32742,36404,8
32742,73809,8
32742,4625,7
32742,59248,6
9416,1985,22
9416,40639,11
9416,11809,10
9416,20022,10
9416,3541,9
9416,34142,8
9416,88667,7
9416,70659,7
9416,6502,7
9416,59248,6
79626,3541,6
79626,58736,6
79626,1757,5
59248,58736,20
59248,88667,16
59248,73809,14
59248,40639,12
59248,73816,10
59248,32742,6
59248,9416,6
59248,69920,6
59248,6502,6
59248,1985,6
73816,58736,18
73816,88667,17
73816,10276,11
73816,59248,10
73816,40639,10
73816,73809,10
73816,70659,9
73816,1985,8
73816,15518,8
73816,69920,8
40639,58736,59
40639,32742,39
40639,88667,21
40639,73809,17
40639,1985,16
40639,70659,13
40639,59248,12
40639,75688,12
40639,9416,11
40639,3541,11
69597,47306,11
69597,5103,7
69597,10508,7
69597,129473,5
5103,47306,15
5103,116717,11
5103,10508,9
5103,3850,8
5103,69597,7
5103,20914,5
4168,5288,21
4168,9603,20
4168,58603,17
4168,46654,15
4168,6939,14
